"target","threshold","sensitivity","specificity","accuracy"
"Sensitivity ~0.80",0.2654362915,0.802631578947368,0.730769230769231,0.784313725490196
"Sensitivity ~0.90",0.237505414,0.894736842105263,0.692307692307692,0.843137254901961
"Specificity ~0.80",0.350380391,0.789473684210526,0.807692307692308,0.794117647058823
"Specificity ~0.90",0.43750756999797,0.631578947368421,0.884615384615385,0.696078431372549
